label,none,SERRF,none,SERRF
CSH_negESI #137,0.213290334,0.100027022,0.179539108,0.182394386
CSH_negESI #138,0.269877334,0.081825248,0.238074438,0.075855399
CSH_negESI #139,0.399625721,0.074744723,0.507251395,0.164743551
CSH_negESI #140,0.256979789,0.045378411,0.213128824,0.145953635
CSH_negESI #144,0.508196643,0.03683631,0.492823044,0.039635539
CSH_negESI #146,0.410855599,0.051670998,0.453933471,0.046131115
CSH_negESI #191,0.896971014,0.144800827,0.373553879,0.420091797
CSH_negESI #192,0.291970777,0.116034204,0.321621168,0.279935015
CSH_negESI #199,0.282437244,0.053383726,0.186701639,0.050954185
CSH_negESI #200,0.628441265,0.095811398,0.662235099,0.106885365
CSH_negESI #202,0.316452128,0.069252597,0.34864063,0.130883596
CSH_negESI #203,0.280181895,0.069794558,0.29616097,0.048481727
CSH_negESI #206,0.386695919,0.048335884,0.410377194,0.063067717
CSH_negESI #206.1,0.414781331,0.040388002,0.426742195,0.036867323
CSH_negESI #220,0.27278061,0.048123373,0.297754114,0.056922746
CSH_negESI #221,0.349572193,0.060855311,0.364790047,0.040249974
CSH_negESI #223,0.49664664,0.174376837,0.466017457,0.137991226
CSH_negESI #223.1,0.637191437,0.157336906,0.496402881,0.064860812
CSH_negESI #238,0.429860474,0.040038227,0.4757218,0.066079095
CSH_negESI #251,0.41554624,0.08904704,0.456251733,0.082813613
CSH_negESI #251.1,0.432437424,0.07707049,0.487655385,0.085961917
CSH_negESI #252,0.863354709,0.109434981,0.465809004,0.505400713
CSH_negESI #253,0.835563524,0.157505032,0.430599196,0.553085639
CSH_negESI #257,0.391238142,0.042926111,0.403068879,0.072634116
CSH_negESI #259,0.369947212,0.070984105,0.370688771,0.042177632
CSH_negESI #261,0.232625816,0.06675571,0.264567977,0.078388679
CSH_negESI #264,0.574139245,0.078619294,0.647718486,0.092437743
CSH_negESI #264.1,0.587372786,0.074299978,0.624215538,0.090077922
CSH_negESI #275,0.223259176,0.078446153,0.186661134,0.107134044
CSH_negESI #275.1,0.295421249,0.165554656,0.270263103,0.107943704
CSH_negESI #278,0.205262183,0.109757183,0.131385929,0.047311941
CSH_negESI #290,0.916420697,0.172702374,0.65224116,0.699567304
CSH_negESI #293,0.44627905,0.08792451,0.470428038,0.065003308
CSH_negESI #293.1,0.560677439,0.060445144,0.593061256,0.030640473
CSH_negESI #298,0.200905693,0.103246806,0.228767378,0.147816871
CSH_negESI #298.1,0.25255757,0.102652204,0.291403498,0.116735046
CSH_negESI #308,0.552349978,0.036806178,0.558192172,0.057502468
CSH_negESI #309,0.792849314,0.037261737,0.844972374,0.014934995
CSH_negESI #310,0.934332877,0.043578681,0.997371156,0.093201396
CSH_negESI #340,0.308868365,0.105688857,0.329354775,0.071957575
CSH_negESI #344,0.279172271,0.120003222,0.251162143,0.115786246
CSH_negESI #345,0.274638202,0.066091845,0.3093542,0.103210758
CSH_negESI #347,0.282667889,0.070645144,0.23470878,0.022183877
CSH_negESI #365,0.276642775,0.080953841,0.281400077,0.032494798
CSH_negESI #366,0.290466523,0.130463144,0.33738265,0.098604612
